,Company Name,Clients (Domestic PF/EPFO),Clients (Domestic Corporates),Clients (Domestic Non-Corporates),Clients (Foreign Non-Residents),Clients (Foreign FPI),Clients (Foreign Others),Clients (Total),AUM (Domestic PF/EPFO),AUM (Domestic Corporates),AUM (Domestic Non-Corporates),AUM (Foreign Non-Residents),AUM (Foreign FPI),AUM (Foreign Others),AUM (Total)
192,INDIAN ANGEL NETWORK SERVICES PRIVATE LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,INDSEC SECURITIES AND FINANCE LTD.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,INFINITY ALTERNATIVES INVESTMENT MANAGERS PRIVATE LIMITED,0.0,12.0,35.0,4.0,1.0,0.0,52.0,0.0,86.18218,91.58818,63.66173,2.51,0.0,243.94209
195,INSIGHTFUL INVESTMENT MANAGER LLP,0.0,8.0,8.0,0.0,0.0,0.0,16.0,0.0,245.64,103.56,0.0,0.0,0.0,349.2
196,INTEGROW ASSET MANAGEMENT PRIVATE LIMITED,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
197,INVASSET LLP,0.0,31.0,410.0,46.0,0.0,0.0,487.0,0.0,73.46849,316.39277,24.08027,0.0,0.0,413.94153
198,INVESCO ASSET MANAGEMENT (INDIA) PRIVATE LIMITED,0.0,32.0,681.0,48.0,4.0,1.0,766.0,0.0,102.61313,654.23503,48.24197,17532.44423,2879.73129,21217.26565
199,INVESQ INVESTMENT MANAGERS LLP,0.0,6.0,69.0,0.0,0.0,0.0,75.0,0.0,7.84226,89.67816,0.0,0.0,0.0,97.52042
200,INVESTCORP INDIA ASSET MANAGERS PRIVATE LIMITED,0.0,6.0,1.0,0.0,0.0,0.0,7.0,0.0,180.0,75.0,0.0,0.0,0.0,255.0
201,INVESTSAVVY PORTFOLIO MANAGEMENT LLP,0.0,3.0,38.0,2.0,0.0,0.0,43.0,0.0,6.82858,88.63418,4.31971,0.0,0.0,99.78247
